"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 27 10:30:00 GMT 2024","Wed Nov 27 10:30:01 GMT 2024","1720","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateProject","Super user should be able to create project",""
"passed","Wed Nov 27 10:30:02 GMT 2024","Wed Nov 27 10:30:02 GMT 2024","473","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateProjectDuplicate","Super user should not be able to create project with same name and id",""
"passed","Wed Nov 27 10:30:04 GMT 2024","Wed Nov 27 10:30:05 GMT 2024","1028","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest.userBuildTypeTest","com.example.teamcity.api.BuildTypeTest.userBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"skipped","Wed Nov 27 10:30:04 GMT 2024","Wed Nov 27 10:30:04 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateProjectWithoutPayload","Super user should not be able to create new project with empty request body",""
"passed","Wed Nov 27 10:30:03 GMT 2024","Wed Nov 27 10:30:03 GMT 2024","294","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateProjectWithExistingName","Super user should not be able to create project with same name and unique id",""
"passed","Wed Nov 27 10:30:05 GMT 2024","Wed Nov 27 10:30:06 GMT 2024","341","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest.userBuildTypeTest","com.example.teamcity.api.BuildTypeTest.userBuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Wed Nov 27 10:30:03 GMT 2024","Wed Nov 27 10:30:04 GMT 2024","300","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateProjectWithNameOnly","Super user should be able to create project with name and without Id",""
"skipped","Wed Nov 27 10:30:04 GMT 2024","Wed Nov 27 10:30:04 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateSubProjectForNonExistingParentProject","Super user should not be able to create subproject for non-existing project",""
"skipped","Wed Nov 27 10:30:04 GMT 2024","Wed Nov 27 10:30:04 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateProjectWithoutName","Super user should not be able to create new project without name",""
"skipped","Wed Nov 27 10:30:04 GMT 2024","Wed Nov 27 10:30:04 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateSubProjectForSpecificParentProject","Super user should be able to sub create project for existing project",""
"passed","Wed Nov 27 10:30:04 GMT 2024","Wed Nov 27 10:30:04 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest.userBuildTypeTest","com.example.teamcity.api.BuildTypeTest.userBuildTypeTest","projectAdminCreateBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Wed Nov 27 10:30:04 GMT 2024","Wed Nov 27 10:30:04 GMT 2024","15","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest.userBuildTypeTest","com.example.teamcity.api.BuildTypeTest.userBuildTypeTest","projectAdminCreateBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"failed","Wed Nov 27 10:30:04 GMT 2024","Wed Nov 27 10:30:04 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","afterTest","afterTest",""
"passed","Wed Nov 27 10:30:03 GMT 2024","Wed Nov 27 10:30:03 GMT 2024","234","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateProjectWithLongId","Super user should Not be able to create project with id > 225 characters",""
"skipped","Wed Nov 27 10:30:04 GMT 2024","Wed Nov 27 10:30:04 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateProjectWithWrongIdFormat","Super user should Not be able to create project with id started with digits",""
"passed","Wed Nov 27 10:30:02 GMT 2024","Wed Nov 27 10:30:03 GMT 2024","327","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateProjectWithExistingId","Super user should not be able to create new project with same id of existing project and unique name of existing project",""
"passed","Wed Nov 27 10:28:50 GMT 2024","Wed Nov 27 10:29:43 GMT 2024","53029","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
