"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 12:54:20 GMT 2024","Thu Nov 28 12:55:13 GMT 2024","53008","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 12:55:31 GMT 2024","Thu Nov 28 12:55:32 GMT 2024","415","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateProjectDuplicate","Super user should not be able to create project with same name and id",""
"passed","Thu Nov 28 12:55:32 GMT 2024","Thu Nov 28 12:55:32 GMT 2024","318","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateProjectWithExistingId","Super user should not be able to create new project with same id of existing project and unique name of existing project",""
"passed","Thu Nov 28 12:55:33 GMT 2024","Thu Nov 28 12:55:33 GMT 2024","272","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateProjectWithLongId","Super user should Not be able to create project with id > 225 characters",""
"passed","Thu Nov 28 12:55:35 GMT 2024","Thu Nov 28 12:55:35 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest.userBuildTypeTest","com.example.teamcity.api.BuildTypeTest.userBuildTypeTest","projectAdminCreateBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Thu Nov 28 12:55:34 GMT 2024","Thu Nov 28 12:55:35 GMT 2024","152","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateSubProjectForNonExistingParentProject","Super user should not be able to create subproject for non-existing project",""
"passed","Thu Nov 28 12:55:33 GMT 2024","Thu Nov 28 12:55:34 GMT 2024","381","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateProjectWithNameOnly","Super user should be able to create project with name and without Id",""
"passed","Thu Nov 28 12:55:32 GMT 2024","Thu Nov 28 12:55:33 GMT 2024","299","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateProjectWithExistingName","Super user should not be able to create project with same name and unique id",""
"passed","Thu Nov 28 12:55:29 GMT 2024","Thu Nov 28 12:55:31 GMT 2024","1700","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateProject","Super user should be able to create project",""
"passed","Thu Nov 28 12:55:37 GMT 2024","Thu Nov 28 12:55:37 GMT 2024","307","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest.userBuildTypeTest","com.example.teamcity.api.BuildTypeTest.userBuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Thu Nov 28 12:55:35 GMT 2024","Thu Nov 28 12:55:36 GMT 2024","914","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest.userBuildTypeTest","com.example.teamcity.api.BuildTypeTest.userBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Nov 28 12:55:35 GMT 2024","Thu Nov 28 12:55:35 GMT 2024","2","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest.userBuildTypeTest","com.example.teamcity.api.BuildTypeTest.userBuildTypeTest","projectAdminCreateBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Thu Nov 28 12:55:34 GMT 2024","Thu Nov 28 12:55:34 GMT 2024","166","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateProjectWithWrongIdFormat","Super user should Not be able to create project with id started with digits",""
"passed","Thu Nov 28 12:55:34 GMT 2024","Thu Nov 28 12:55:34 GMT 2024","142","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateProjectWithoutPayload","Super user should not be able to create new project with empty request body",""
"passed","Thu Nov 28 12:55:34 GMT 2024","Thu Nov 28 12:55:34 GMT 2024","200","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateProjectWithoutName","Super user should not be able to create new project without name",""
"passed","Thu Nov 28 12:55:35 GMT 2024","Thu Nov 28 12:55:35 GMT 2024","420","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest.CreateProjectTest","com.example.teamcity.api.ProjectTest.CreateProjectTest","CreateSubProjectForSpecificParentProject","Super user should be able to create sub project for existing project",""
